type,nr_processes,grid_dim,matrix_size,solver,linear_system,time,iterations,precision,damping_parameter,step_size_h,SPEEDUP,EFFICENCY
serial,1,33,1024,damped-jacobi,five-point,11.2983,6239,1.00E-11,1,0.030303,,
serial,1,33,1024,gauss-seidel,five-point,4.23175,3121,1.00E-11,1,0.030303,,
serial,1,34,1089,damped-jacobi,five-point,13.6776,6624,1.00E-11,1,0.0294118,,
serial,1,34,1089,gauss-seidel,five-point,5.11913,3314,1.00E-11,1,0.0294118,,
serial,1,35,1156,damped-jacobi,five-point,16.5797,7021,1.00E-11,1,0.0285714,,
serial,1,35,1156,gauss-seidel,five-point,6.13708,3512,1.00E-11,1,0.0285714,,
serial,1,36,1225,damped-jacobi,five-point,19.9338,7428,1.00E-11,1,0.0277778,,
serial,1,36,1225,gauss-seidel,five-point,7.3871,3715,1.00E-11,1,0.0277778,,
serial,1,37,1296,damped-jacobi,five-point,23.8684,7848,1.00E-11,1,0.027027,,
serial,1,37,1296,gauss-seidel,five-point,8.85555,3925,1.00E-11,1,0.027027,,
serial,1,38,1369,damped-jacobi,five-point,27.9809,8277,1.00E-11,1,0.0263158,,
serial,1,38,1369,gauss-seidel,five-point,10.5297,4140,1.00E-11,1,0.0263158,,
serial,1,39,1444,damped-jacobi,five-point,33.0576,8719,1.00E-11,1,0.025641,,
serial,1,39,1444,gauss-seidel,five-point,12.4712,4361,1.00E-11,1,0.025641,,
serial,1,40,1521,damped-jacobi,five-point,38.4363,9172,1.00E-11,1,0.025,1,1
serial,1,40,1521,gauss-seidel,five-point,14.7378,4588,1.00E-11,1,0.025,,
serial,1,41,1600,damped-jacobi,five-point,44.6627,9639,1.00E-11,1,0.0243902,,
serial,1,41,1600,gauss-seidel,five-point,17.2981,4820,1.00E-11,1,0.0243902,,
serial,1,42,1681,damped-jacobi,five-point,51.672,10118,1.00E-11,1,0.0238095,,
serial,1,42,1681,gauss-seidel,five-point,20.1411,5058,1.00E-11,1,0.0238095,,
serial,1,43,1764,damped-jacobi,five-point,59.4152,10610,1.00E-11,1,0.0232558,,
serial,1,43,1764,gauss-seidel,five-point,23.4267,5302,1.00E-11,1,0.0232558,,
serial,1,44,1849,damped-jacobi,five-point,68.3173,11102,1.00E-11,1,0.0227273,,
serial,1,44,1849,gauss-seidel,five-point,27.1997,5551,1.00E-11,1,0.0227273,,
serial,1,45,1936,damped-jacobi,five-point,78.3439,11611,1.00E-11,1,0.0222222,,
serial,1,45,1936,gauss-seidel,five-point,31.2631,5806,1.00E-11,1,0.0222222,,
serial,1,46,2025,damped-jacobi,five-point,89.8232,12139,1.00E-11,1,0.0217391,,
serial,1,46,2025,gauss-seidel,five-point,35.7477,6068,1.00E-11,1,0.0217391,,
serial,1,47,2116,damped-jacobi,five-point,102.133,12688,1.00E-11,1,0.0212766,,
serial,1,47,2116,gauss-seidel,five-point,40.7155,6335,1.00E-11,1,0.0212766,,
serial,1,48,2209,damped-jacobi,five-point,116.429,13220,1.00E-11,1,0.0208333,,
serial,1,48,2209,gauss-seidel,five-point,46.3344,6607,1.00E-11,1,0.0208333,,
serial,1,49,2304,damped-jacobi,five-point,133.196,13783,1.00E-11,1,0.0204082,,
serial,1,49,2304,gauss-seidel,five-point,53.4848,6886,1.00E-11,1,0.0204082,,
serial,1,50,2401,damped-jacobi,five-point,148.946,14366,1.00E-11,1,0.02,,
serial,1,50,2401,gauss-seidel,five-point,59.565,7170,1.00E-11,1,0.02,,
serial,1,51,2500,damped-jacobi,five-point,168.311,14928,1.00E-11,1,0.0196078,,
serial,1,51,2500,gauss-seidel,five-point,67.2822,7461,1.00E-11,1,0.0196078,,
serial,1,52,2601,damped-jacobi,five-point,189.242,15523,1.00E-11,1,0.0192308,,
serial,1,52,2601,gauss-seidel,five-point,75.3338,7756,1.00E-11,1,0.0192308,,
serial,1,53,2704,damped-jacobi,five-point,212.422,16121,1.00E-11,1,0.0188679,,
serial,1,53,2704,gauss-seidel,five-point,84.2397,8057,1.00E-11,1,0.0188679,,
serial,1,54,2809,damped-jacobi,five-point,238.59,16761,1.00E-11,1,0.0185185,,
